Structure URN,ID,Name EN,Name UK,Description EN,Description UK,ID_ORIG,Details,Included Items,Excluded Items,parent
SSSU:CL_NACE_R2_UA(3.2.1),K,Financial and insurance activities,Фінансова та страхова діяльність,,,K,,"<em>Ця секція включає</em> надання фінансових послуг, у т.ч. страхування, перестрахування та діяльність пенсійних фондів, а також надання допоміжних фінансових послуг. <br></br>  <br></br>  <em>Ця секція також включає</em> діяльність власників активів, таких як холдингові компанії та трасти, фонди та інші подібні фінансові суб'єкти. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),L,Real estate activities,Операції з нерухомим майном,,,L,,"<em>Ця секція включає</em> діяльність орендодавців, агентів і/або посередників з продажу або купівлі, надання в оренду нерухомого майна, надання інших послуг відносно нерухомого майна, таких як оцінювання об'єктів нерухомості або дії в якості агентів рахунків депонування. Діяльність може здійснюватися відносно власної або орендованої нерухомості та може виконуватися на основі фіксованих виплат або основі контракту. <br></br>  <br></br>  <em>Ця секція також включає</em> будування конструкцій у сполученні з набуттям прав власності або оренди цих конструкцій. <br></br> Ця секція також включає діяльність менеджерів з управління нерухомим майном. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),M,"Professional, scientific and technical activities","Професійна, наукова та технічна діяльність",,,M,,"<em>Ця секція включає</em> спеціалізовану професійну, наукову і технічну діяльність. Ця діяльність вимагає високого рівня підготовки та робить доступними для користувачів спеціальні знання та навички. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),N,Administrative and support service activities,Діяльність у сфері адміністративного та допоміжного обслуговування,,,N,,"<em>Ця секція включає</em> діяльність із підтримки основної діяльності підприємств. Ця діяльність відрізняється від діяльності, класифікованої у секції <a>M</a> , оскільки її головне призначення не потребує наявності спеціалізованих знань. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),O,Public administration and defence; compulsory social security,Державне управління й оборона; обов'язкове соціальне страхування,,,O,,"<em>Ця секція включає</em> діяльність державного характеру, яку зазвичай здійснюють у сфері державного управління. Вона охоплює види діяльності з прийняття і судового тлумачення законів та їх норм, таку як управління програмами, що на них засновані, законодавчу діяльність, оподаткування, державну оборону, громадський порядок і безпеку, міграційні послуги, зовнішню політику й управління державними програмами. Секція також включає діяльність у сфері обов'язкового соціального страхування. <br></br> Правовий або інституційний статус не є визначальним чинником щодо віднесення виду діяльності до цієї секції, а більшою мірою залежить від природи вищезазначеної діяльності. Це означає, що види діяльності, класифіковані в інших розділах КВЕД, не включені до цієї секції, навіть якщо їх здійснюють органи державного управління. Наприклад, управління системою освіти (нормативне регулювання, контроль, складання навчальних програм) відносять до цієї секції, а освітню діяльність (викладання) – до секції <a>P</a> ""Освіта"", діяльність в'язничної лікарні або військового шпиталю класифікують як ""охорону здоров'я"" (див. секцію <a>Q</a> ). Подібним же чином деякі види діяльності, описані у цій секції, можуть виконувати і неурядові одиниці. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),P,Education,Освіта,,,P,,"<em>Ця секція включає</em> державну і приватну освіту будь-якого рівня та навчання будь-якій професії, очне або заочне, а також по радіо й телебаченню, через мережу Інтернет і поштою. <br></br> Ця секція включає освіту, яка надається різними установами в рамках шкільної системи освіти на всіх її рівнях, а також освіта для дорослих, програми ліквідації неписьменності тощо. До секції також включено діяльність військових ліцеїв і академій, в'язничних шкіл і т. ін. відповідного рівня. <br></br> Кожен рівень початкової освіти включає спеціальне навчання учнів із фізичними та розумовими вадами. <br></br> Роз'яснення, які наведені до цієї секції щодо рівнів та ступенів освіти, ґрунтуються на Міжнародній класифікації освіти (ISCED) 1997. Діяльність освітніх установ, які надають навчання на рівні міжнародних стандартів ISCED «0», класифікована в класі <a>85.10</a> , на рівні «1» – у класі <a>85.20</a> , на рівнях «2-3» – у групі <a>85.3</a> , на рівні «4» – у класі <a>85.41</a> і на рівні «5-6» – у класі <a>85.42</a> . <br></br>  <br></br>  <em>Ця секція також включає</em> навчання зацікавлених осіб переважно у спортивних і розважальних цілях, наприклад, грі в теніс або гольф, а також допоміжну діяльність у сфері освіти. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),Q,Human health and social work activities,Охорона здоров'я та надання соціальної допомоги,,,Q,,"<em>Ця секція включає</em> надання послуг з охорони здоров'я та соціальної допомоги. Діяльність включає широкий діапазон напрямів діяльності від заходів щодо охорони здоров'я, які проводять кваліфіковані медичні фахівці в лікарнях та інших установах, терапевтичних заходів удома до соціальної роботи без будь-якого залучення медиків-професіоналів. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),R,"Arts, entertainment and recreation","Мистецтво, спорт, розваги та відпочинок",,,R,,"<em>Ця секція включає</em> широкий спектр видів діяльності у сфері культури, розваг і відпочинку, у т.ч. сценічні виступи, функціонування музеїв, азартні ігри, спортивні заходи та заходи, пов'язані з відпочинком. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),S,Other services activities,Надання інших видів послуг,,,S,"Ця секція (як залишкова категорія) включає діяльність громадських організацій, ремонт комп'ютерів, предметів особистого вжитку та побутових приладів, а також ряд послуг, що не підпадають під іншу класифікацію. <br></br>  <br></br>",,,
SSSU:CL_NACE_R2_UA(3.2.1),T,Activities of households as employers; undifferentiated goods - and services - producing activities of households for own use,Діяльність домашніх господарств,,,T,,,,
SSSU:CL_NACE_R2_UA(3.2.1),U,Activities of extraterritorial organisations and bodies,Діяльність екстериторіальних організацій і органів,,,U,,,,
